Age,Attrition,BusinessTravel,Department,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,Modeofwork,Jobmode
37,1,0,0,0,2,1,0,3,0,2090,6,1,15,3,0,0
21,0,0,0,0,3,1,1,4,0,1232,1,0,14,3,1,1
45,0,0,0,0,3,3,2,1,1,13245,4,1,14,3,1,0
23,0,0,1,0,3,1,3,1,2,2322,3,0,13,3,0,2
22,0,0,0,1,3,1,0,4,0,2871,1,0,15,3,1,0
19,1,0,1,0,3,1,3,3,0,1675,1,1,19,3,1,1
19,1,1,1,1,1,1,3,1,0,2325,0,0,21,4,1,0
28,1,0,0,0,3,1,0,3,0,3485,2,0,11,3,1,0
29,0,0,1,0,2,2,6,2,1,6644,2,0,19,3,0,1
18,1,0,0,0,3,1,0,3,0,1420,1,0,13,3,1,2
18,0,0,1,1,2,1,3,3,0,1200,1,0,12,3,1,2
47,0,1,1,0,3,2,3,3,0,2976,3,0,19,3,1,2
48,0,0,1,1,3,3,4,3,1,12504,3,0,21,4,1,1
18,1,1,1,0,3,1,3,2,0,1878,1,1,14,3,1,2
26,0,0,1,0,3,2,6,3,2,4306,5,0,12,3,1,1
38,0,0,0,1,3,1,1,1,0,2619,3,0,17,3,1,2
34,0,0,0,1,3,2,5,1,2,5121,3,0,14,3,1,1
23,1,0,0,0,4,1,0,1,1,1601,1,1,21,4,0,1
30,0,0,0,1,2,2,5,4,0,6877,5,1,24,4,1,1
27,0,2,0,0,3,1,1,4,1,1706,1,0,11,3,0,0
48,0,0,0,0,3,1,1,3,1,2259,4,0,17,3,1,2
29,1,0,0,1,2,1,1,1,0,2404,6,1,20,4,1,2
18,0,2,0,0,3,1,1,4,0,1051,1,0,15,3,1,2
50,1,1,1,0,3,2,6,3,0,4728,3,1,14,3,0,1
34,0,2,0,0,2,1,1,4,1,2979,3,0,17,3,1,0
18,1,2,0,0,3,1,0,3,0,1904,1,0,12,3,0,2
22,1,1,0,0,2,1,1,4,1,2853,0,1,11,3,1,2
44,0,2,0,0,1,1,1,3,0,2290,2,0,13,3,1,0
40,0,1,1,0,3,2,6,2,1,4327,5,0,12,3,1,2
45,0,1,0,1,3,5,4,2,0,18061,3,0,22,4,0,0
18,0,2,0,1,3,1,0,4,0,1611,1,0,15,3,1,1
24,1,1,0,0,3,1,0,1,0,3172,2,1,11,3,0,1
28,1,1,0,0,2,1,0,1,0,2561,7,0,11,3,1,2
33,0,0,0,0,3,2,8,3,0,6388,2,1,17,3,0,2
18,1,1,1,1,3,1,3,4,0,1569,1,1,12,3,0,1
38,0,0,0,1,3,1,0,3,1,3306,7,0,19,3,0,2
32,1,0,1,0,1,2,6,2,0,6735,6,0,15,3,1,2
33,1,0,1,1,3,3,6,1,0,8564,2,1,20,4,0,0
42,0,0,0,0,4,2,8,1,1,5538,5,0,18,3,1,0
18,0,2,0,1,3,1,1,3,0,1514,1,0,16,3,1,0
32,0,1,1,0,3,2,6,4,0,4648,8,0,13,3,0,0
42,0,0,0,0,3,1,0,3,0,3968,4,0,13,3,0,2
56,0,0,1,1,2,2,6,1,1,5380,4,0,16,3,0,0
42,0,0,1,0,3,2,6,4,2,5087,3,1,12,3,0,1
59,0,0,0,1,4,1,0,1,1,2670,4,1,20,4,0,0
30,0,0,0,0,3,1,0,3,2,2693,1,0,22,4,1,1
22,0,2,0,0,4,1,0,4,2,2935,1,1,13,3,0,0
33,0,0,0,0,3,1,0,4,0,2496,4,0,11,3,0,0
39,1,0,1,0,3,2,3,4,1,2086,3,0,14,3,0,0
36,0,0,0,1,2,1,1,1,1,3419,9,1,14,3,0,1
35,0,0,0,0,3,1,0,4,2,1951,1,0,12,3,1,2
27,0,0,0,1,3,1,0,1,2,2341,1,0,13,3,0,1
26,1,0,0,0,1,1,0,3,0,2293,1,0,12,3,1,1
37,0,0,0,0,3,1,1,2,1,3022,4,0,21,4,1,1
35,0,0,0,0,4,1,0,4,1,2269,1,0,19,3,0,2
48,1,0,0,0,2,3,0,3,0,5381,9,1,13,3,0,0
45,0,0,0,0,3,3,1,1,2,9724,2,0,17,3,0,1
36,1,0,0,0,2,1,1,3,1,3388,0,1,17,3,1,2
31,0,0,0,0,3,1,1,2,0,2501,1,0,17,3,1,0
36,0,0,0,1,4,1,0,4,1,3038,3,0,12,3,0,0
55,0,0,1,0,3,3,6,4,1,10239,3,0,14,3,1,2
32,0,0,0,0,3,1,1,1,0,2956,1,0,13,3,1,2
20,1,1,0,1,2,1,0,4,0,2926,1,1,18,3,1,0
37,0,2,0,0,2,2,8,4,2,5163,5,0,14,3,1,0
34,0,0,0,1,2,2,1,2,2,4505,6,0,15,3,1,0
36,0,0,0,1,3,1,0,4,2,2835,5,0,22,4,0,2
19,0,0,0,1,3,1,0,2,0,1483,1,0,14,3,0,2
51,0,0,0,0,2,2,5,3,1,6132,2,0,17,3,1,0
58,0,0,0,1,2,1,1,2,1,3346,4,1,20,4,1,0
27,0,2,0,0,2,1,1,3,2,2566,1,1,15,3,1,0
19,1,0,0,0,2,1,0,4,0,1102,1,0,22,4,0,0
35,1,0,0,0,2,2,5,3,1,5916,3,1,13,3,1,2
38,0,0,0,0,3,2,5,3,1,6553,9,0,14,3,0,2
38,1,0,0,0,3,2,8,1,1,6673,7,1,19,3,0,1
41,0,0,1,1,3,3,4,4,0,13591,3,1,18,3,1,1
59,0,0,0,0,2,1,1,4,1,2177,3,0,17,3,0,0
41,0,0,0,0,3,2,1,1,2,3072,2,0,16,3,1,1
37,1,1,0,0,3,3,5,3,2,10048,6,0,11,3,1,1
51,0,0,0,0,3,1,1,4,1,2723,1,0,11,3,1,1
44,1,1,0,0,3,1,0,3,2,3161,3,1,22,4,0,0
36,0,1,0,0,4,1,0,4,1,3688,4,0,18,3,0,2
39,1,0,1,1,3,2,6,3,1,5238,4,1,18,3,0,2
43,0,0,0,1,3,3,8,1,1,9985,8,0,16,3,1,2
42,0,0,0,1,3,4,2,4,0,15992,2,0,14,3,1,2
42,0,0,0,0,2,2,8,4,0,6781,3,0,23,4,1,0
36,0,2,1,1,3,2,6,4,0,6653,4,0,15,3,1,0
33,1,0,1,1,3,1,3,3,0,2851,1,1,13,3,0,0
46,0,2,0,1,3,2,5,3,1,5258,2,0,14,3,1,0
21,1,0,1,1,4,1,3,2,0,2716,1,0,15,3,1,1
35,0,0,0,0,2,2,8,2,0,6540,9,0,19,3,0,2
30,0,0,1,0,3,1,3,2,1,2476,1,0,18,3,1,2
30,1,1,0,0,3,1,1,4,0,2285,9,1,23,4,1,2
37,0,0,0,0,3,2,5,2,0,4197,2,1,12,3,0,2
40,0,0,0,1,2,2,0,3,1,3448,6,0,22,4,1,0
38,0,1,0,0,3,1,0,4,1,1702,1,1,23,4,1,2
19,1,0,7,0,2,1,7,4,0,2564,1,0,12,3,1,2
57,0,0,1,0,2,4,4,4,2,14118,3,0,12,3,1,0
54,0,0,0,1,3,2,0,3,0,3780,7,0,11,3,1,2
31,1,1,0,0,3,3,8,3,1,9824,3,0,12,3,1,2
40,0,2,1,0,1,3,6,1,2,10932,3,0,15,3,1,2
26,1,0,0,0,1,1,0,4,0,2340,1,1,18,3,1,0
38,0,0,0,1,3,2,8,3,1,9824,3,0,19,3,1,0
24,0,0,0,0,2,1,0,2,1,2127,1,0,21,4,0,2
30,1,1,1,0,2,1,3,1,1,2033,1,0,18,3,1,0
20,0,0,0,1,2,1,1,2,0,2836,1,0,13,3,1,1
43,0,0,0,0,2,4,2,4,2,16627,4,1,14,3,1,0
30,0,1,0,1,3,1,1,3,2,2083,1,0,20,4,1,2
45,1,1,1,1,3,2,6,1,1,4286,2,0,14,3,0,0
20,1,0,0,0,3,1,1,3,0,1009,1,1,11,3,0,2
35,0,2,0,0,2,1,0,3,1,1281,1,0,18,3,1,2
37,0,0,0,0,4,1,1,4,0,4680,3,0,17,3,1,2
38,0,0,0,1,3,3,5,3,0,7861,4,1,14,3,0,0
29,0,0,1,0,3,1,3,3,0,2642,1,0,11,3,1,0
35,0,2,0,1,3,2,8,1,2,5093,2,0,11,3,1,1
38,0,0,0,0,3,1,1,3,1,3057,6,1,13,3,0,2
24,0,2,0,0,2,1,0,2,2,2694,1,0,11,3,0,1
29,1,0,0,1,2,1,0,1,1,2319,1,1,11,3,0,1
40,0,1,0,0,2,2,0,3,0,5094,6,0,14,3,0,1
45,0,0,0,1,2,1,1,3,0,2274,1,0,14,3,0,0
37,0,0,1,0,2,2,6,3,2,6334,4,0,19,3,0,1
32,1,0,0,0,3,1,0,4,0,2795,1,1,24,4,1,1
58,1,1,0,0,2,1,0,4,2,2380,9,1,14,3,0,0
43,0,0,0,1,3,2,5,2,2,4765,4,0,21,4,0,2
21,1,0,0,1,3,1,1,4,0,2693,1,0,19,3,1,1
27,0,0,0,1,3,1,1,3,0,2318,1,0,19,3,0,2
34,0,0,0,0,3,1,0,2,2,2008,1,0,14,3,1,2
25,1,0,1,0,2,1,3,2,1,2413,1,1,18,3,1,2
40,0,0,1,0,2,3,6,2,2,9705,2,0,12,3,0,2
19,1,0,1,0,2,1,3,2,0,2121,1,1,13,3,0,0
20,1,0,0,0,3,1,0,1,0,2973,1,0,19,3,0,0
40,0,1,0,0,3,1,1,2,2,3617,8,1,14,3,1,0
58,1,0,0,0,3,1,1,3,0,2479,4,0,24,4,1,0
40,1,2,1,1,4,4,6,2,0,13194,4,1,16,3,0,2
20,1,0,0,1,2,1,1,1,0,2600,1,1,15,3,0,2
42,0,0,1,0,3,5,4,3,1,18303,6,0,13,3,1,1
50,0,0,0,0,3,1,0,4,1,2380,4,0,18,3,1,2
37,1,0,0,1,1,2,8,2,1,4777,5,0,15,3,0,2
38,0,0,1,0,3,2,6,4,0,6861,8,1,12,3,1,0
36,1,0,0,0,3,2,0,3,2,4834,7,0,14,3,0,2
34,0,0,1,1,3,1,3,3,1,2220,1,1,19,3,0,2
28,0,0,1,0,3,1,3,2,1,1052,1,0,22,4,1,0
43,0,0,1,0,2,3,6,4,2,10798,5,0,13,3,0,1
21,1,0,0,1,2,1,0,1,0,1416,1,0,13,3,0,0
37,0,0,1,1,2,2,6,4,2,6694,2,1,14,3,1,1
26,1,0,0,0,3,1,0,3,2,2377,1,0,20,4,0,2
28,1,1,0,0,2,1,0,2,2,2596,1,0,15,3,1,0
38,0,0,1,0,3,3,6,2,0,7351,7,0,16,3,1,1
42,0,0,0,0,1,2,0,4,0,4272,4,0,19,3,1,2
41,0,0,0,0,3,1,0,4,1,4766,3,1,11,3,0,2
28,1,0,0,1,3,1,0,4,1,2515,1,1,11,3,0,2
40,0,1,0,1,2,2,1,4,1,4422,3,1,13,3,1,1
32,0,2,1,1,3,1,3,1,2,2827,1,0,12,3,0,2
19,0,0,0,0,3,1,1,1,0,2552,1,0,25,4,1,0
41,1,2,0,0,2,1,1,1,2,2107,6,0,17,3,1,0
24,1,0,0,1,3,1,0,2,1,2210,1,0,13,3,0,2
42,0,1,0,1,3,3,2,1,1,13191,3,1,17,3,0,1
19,1,2,0,1,2,1,1,2,0,1859,1,1,25,4,0,1
49,0,0,0,0,2,5,4,3,1,18711,2,0,13,3,0,0
48,0,0,0,0,4,1,0,2,0,2559,5,0,11,3,0,1
48,0,0,0,0,2,5,2,4,0,18265,6,0,12,3,1,1
34,0,0,0,1,4,1,1,3,1,2585,0,0,17,3,1,2
19,0,0,0,1,4,1,1,4,0,2994,1,1,12,3,1,0
23,0,0,0,0,3,1,1,3,1,1223,1,0,22,4,0,2
25,1,1,1,0,1,1,3,4,0,1118,1,1,14,3,0,2
42,0,0,0,1,4,2,1,2,1,2372,6,1,16,3,1,2
27,0,0,1,1,4,1,3,4,1,2534,8,0,14,3,0,0
31,1,1,1,1,2,1,3,4,0,2785,7,0,14,3,1,0
31,1,1,1,1,1,1,3,3,0,1359,1,0,12,3,1,1
31,1,0,0,1,2,1,1,2,0,1261,1,0,12,3,1,0
39,1,2,0,1,2,1,0,1,0,3646,2,1,23,4,1,0
44,0,1,1,1,3,2,6,3,1,4768,7,0,12,3,0,0
30,0,2,0,0,3,1,1,3,2,1274,1,0,13,3,1,0
35,0,0,1,0,3,1,3,3,1,2404,1,0,13,3,0,0
24,0,2,1,1,3,1,3,2,1,2033,1,0,13,3,0,2
28,0,0,0,0,2,1,1,3,2,1563,1,0,14,3,0,0
42,0,0,0,0,2,1,0,2,1,4841,4,0,14,3,1,0
24,0,0,0,0,2,1,0,1,2,2296,0,0,14,3,1,2
29,0,0,0,0,4,1,1,3,1,2451,6,0,18,3,0,0
35,1,0,0,1,3,1,0,1,2,2074,1,1,12,3,0,2
34,0,0,0,0,3,1,1,4,0,2972,1,0,13,3,0,2
26,0,0,0,1,3,1,1,4,1,2061,1,0,21,4,1,0
36,0,0,1,1,3,2,6,3,0,6815,6,0,13,3,1,1
50,0,0,1,0,3,5,4,3,1,19331,4,1,16,3,0,2
42,0,0,0,0,2,5,4,4,0,19613,8,0,22,4,0,0
35,0,0,0,0,2,1,0,4,1,2690,1,0,18,3,1,0
28,1,0,0,0,3,1,0,2,1,2408,1,1,17,3,1,2
32,1,0,0,0,3,1,0,2,0,1393,1,0,12,3,0,2
60,0,0,0,0,1,3,8,4,2,10883,3,0,20,4,0,0
24,1,0,7,0,1,1,7,3,1,1555,1,0,11,3,0,2
40,0,0,0,1,3,2,5,1,1,6516,2,1,16,3,0,0
47,0,2,1,0,3,2,6,2,1,4978,7,0,11,3,0,1
31,1,0,1,0,3,3,6,3,1,8161,2,0,13,3,0,1
29,0,0,0,1,2,1,1,1,2,2109,1,0,13,3,0,2
38,0,0,0,0,1,2,8,4,1,5811,3,1,16,3,1,1
43,1,1,0,0,2,1,1,3,1,2437,9,1,16,3,0,0
55,0,0,0,0,2,5,2,1,1,19038,8,0,12,3,1,0
21,1,0,1,0,3,1,3,2,0,2679,1,0,13,3,1,1
22,1,0,0,1,3,1,0,1,1,2398,1,1,17,3,1,2
31,1,0,7,0,4,1,7,1,1,2956,0,0,17,3,1,0
36,0,0,0,1,3,2,1,2,1,6962,4,1,22,4,1,1
29,0,0,7,0,2,1,7,2,1,2804,1,0,11,3,1,1
29,1,1,0,0,2,1,1,4,0,2439,1,1,24,4,0,1
28,0,0,1,1,3,1,3,2,1,2856,1,0,19,3,0,0
30,1,0,1,0,3,1,3,4,0,1081,1,0,13,3,1,2
22,1,0,0,0,3,1,1,2,0,2472,1,1,23,4,0,2
26,0,0,0,1,2,1,1,3,1,2933,1,1,13,3,0,1
29,1,1,1,0,4,1,3,1,0,1091,1,0,17,3,1,1
58,0,0,1,1,3,4,4,4,1,17875,4,1,13,3,1,1
27,1,1,7,1,2,1,7,2,1,2863,1,0,12,3,0,1
38,0,0,1,0,2,1,3,1,0,2858,4,0,14,3,1,2
32,0,0,0,0,2,2,5,4,0,9679,8,0,24,4,1,0
31,0,0,0,1,1,1,0,4,2,1129,1,1,11,3,0,0
33,0,2,0,0,2,1,0,3,2,2008,1,0,12,3,1,0
40,0,0,0,0,3,1,0,4,1,2406,8,0,19,3,1,2
23,1,1,1,0,3,1,3,1,1,1790,1,0,19,3,0,2
27,0,0,0,0,3,1,0,2,1,3468,9,0,12,3,1,0
34,0,0,0,0,3,1,0,4,2,2661,0,0,11,3,0,2
46,0,0,1,1,3,5,4,1,0,18947,3,0,12,3,1,1
24,1,0,0,0,3,1,1,4,1,2293,2,1,16,3,1,1
35,0,0,1,1,3,1,3,4,1,2014,1,0,13,3,0,2
28,1,0,0,0,3,1,0,3,0,3441,1,1,13,3,0,0
26,0,0,1,1,2,2,6,4,1,4157,7,1,19,3,1,2
35,0,0,0,1,3,1,0,1,1,4014,3,1,15,3,1,1
25,0,0,0,0,2,1,1,4,1,2889,1,0,11,3,1,0
22,0,0,0,0,3,1,0,4,1,2523,0,0,14,3,0,2
50,0,1,1,1,3,3,6,4,0,9208,4,0,11,3,0,0
31,1,0,1,1,1,2,6,3,1,4559,3,1,11,3,0,1
25,0,0,1,0,2,2,6,3,1,8639,2,0,18,3,0,0
22,0,0,0,0,3,1,1,4,1,2323,1,0,24,4,1,1
27,0,2,0,0,3,1,1,2,2,2024,6,0,18,3,0,0
56,0,0,0,1,3,1,1,1,2,4257,4,1,18,3,0,1
38,0,0,0,1,3,1,0,4,0,2288,1,0,12,3,1,2
27,0,1,0,0,2,2,5,1,1,4298,5,0,19,3,1,0
52,0,0,0,1,2,1,0,4,0,3212,7,0,15,3,1,0
59,0,0,7,0,3,1,7,3,1,2267,8,0,17,3,0,0
31,0,1,0,0,3,3,2,3,2,13675,9,0,12,3,1,0
33,0,0,0,1,2,1,1,4,1,2911,1,0,13,3,1,1
38,0,0,0,0,3,2,8,4,2,5745,9,0,14,3,0,2
31,0,1,1,1,3,1,3,2,2,2789,1,0,11,3,1,2
31,0,0,7,0,2,2,7,1,1,6410,3,0,12,3,0,0
31,0,0,0,0,3,1,1,4,2,2695,0,1,18,3,1,1
30,0,2,1,1,3,2,6,3,1,4736,7,1,12,3,0,1
31,0,0,0,0,2,1,1,2,0,2657,0,1,16,3,1,1
36,0,0,0,1,3,1,1,3,1,2543,4,0,13,3,0,0
22,0,0,0,1,3,1,1,2,1,2244,1,0,13,3,0,0
25,1,0,0,0,3,1,0,1,1,4031,5,0,13,3,0,0
45,0,0,0,0,3,1,1,4,1,2654,3,0,21,4,1,2
34,1,1,1,1,1,1,3,3,2,2351,0,0,16,3,1,2
29,1,0,0,1,2,1,1,2,1,2546,5,0,16,3,1,2
42,0,1,0,0,3,1,0,3,1,2093,4,0,17,3,1,0
22,1,1,0,0,2,1,0,3,0,3894,5,0,16,3,0,0
46,0,1,0,1,3,3,8,3,1,10527,5,0,11,3,1,0
24,0,1,1,0,3,1,3,4,1,2400,0,0,13,3,0,2
44,0,0,7,1,2,2,7,3,0,5985,4,0,11,3,0,1
44,0,0,0,0,3,5,4,4,1,19513,4,1,12,3,0,2
22,0,0,0,0,3,1,1,3,1,2773,0,0,20,4,0,2
48,0,0,1,0,4,2,6,2,1,8120,3,0,12,3,0,1
24,1,0,1,1,3,2,6,3,0,4577,9,0,14,3,0,0
60,0,0,1,0,3,2,6,1,0,5405,8,0,14,3,1,2
50,0,0,1,0,3,1,3,2,1,3875,7,0,15,3,1,1
42,1,1,0,0,4,1,1,3,2,2759,6,1,12,3,0,2
